SA2 - Residence,SA2 - Place of Work,Count
Concord West - North Strathfield,Chester Hill - Sefton,13
Drummoyne - Rodd Point,Chester Hill - Sefton,18
Five Dock - Abbotsford,Chester Hill - Sefton,17
Balmain,Chester Hill - Sefton,4
Leichhardt - Annandale,Chester Hill - Sefton,10
Lilyfield - Rozelle,Chester Hill - Sefton,3
Ashfield,Chester Hill - Sefton,26
Burwood - Croydon,Chester Hill - Sefton,23
Canterbury (North) - Ashbury,Chester Hill - Sefton,13
Croydon Park - Enfield,Chester Hill - Sefton,18
Dulwich Hill - Lewisham,Chester Hill - Sefton,10
Haberfield - Summer Hill,Chester Hill - Sefton,13
Homebush,Chester Hill - Sefton,23
Strathfield,Chester Hill - Sefton,58
Chatswood (East) - Artarmon,Chester Hill - Sefton,11
Chatswood (West) - Lane Cove North,Chester Hill - Sefton,3
Lane Cove - Greenwich,Chester Hill - Sefton,9
St Leonards - Naremburn,Chester Hill - Sefton,5
Willoughby - Castle Cove - Northbridge,Chester Hill - Sefton,8
Asquith - Mount Colah,Chester Hill - Sefton,4
Berowra - Brooklyn - Cowan,Chester Hill - Sefton,6
Hornsby - Waitara,Chester Hill - Sefton,9
Normanhurst - Thornleigh - Westleigh,Chester Hill - Sefton,8
Gordon - Killara,Chester Hill - Sefton,9
Lindfield - Roseville,Chester Hill - Sefton,8
St Ives,Chester Hill - Sefton,5
Turramurra,Chester Hill - Sefton,5
Wahroonga - Warrawee,Chester Hill - Sefton,3
Crows Nest - Waverton,Chester Hill - Sefton,6
Mosman,Chester Hill - Sefton,3
Neutral Bay - Kirribilli,Chester Hill - Sefton,3
North Sydney - Lavender Bay,Chester Hill - Sefton,3
Balgowlah - Clontarf - Seaforth,Chester Hill - Sefton,3
Bayview - Elanora Heights,Chester Hill - Sefton,3
Newport - Bilgola,Chester Hill - Sefton,5
Warriewood - Mona Vale,Chester Hill - Sefton,3
Cromer,Chester Hill - Sefton,3
Dee Why - North Curl Curl,Chester Hill - Sefton,6
Forestville - Killarney Heights,Chester Hill - Sefton,7
Narrabeen - Collaroy,Chester Hill - Sefton,4
Camden - Ellis Lane,Chester Hill - Sefton,23
Elderslie - Harrington Park,Chester Hill - Sefton,23
Mount Annan - Currans Hill,Chester Hill - Sefton,51
Bradbury - Wedderburn,Chester Hill - Sefton,34
Campbelltown - Woodbine,Chester Hill - Sefton,23
Claymore - Eagle Vale - Raby,Chester Hill - Sefton,41
Ingleburn - Denham Court,Chester Hill - Sefton,31
Leumeah - Minto Heights,Chester Hill - Sefton,36
Macquarie Fields - Glenfield,Chester Hill - Sefton,60
Minto - St Andrews,Chester Hill - Sefton,41
Rosemeadow - Glen Alpine,Chester Hill - Sefton,37
Bargo,Chester Hill - Sefton,3
Douglas Park - Appin,Chester Hill - Sefton,8
Picton - Tahmoor - Buxton,Chester Hill - Sefton,17
The Oaks - Oakdale,Chester Hill - Sefton,13
Blaxland - Warrimoo - Lapstone,Chester Hill - Sefton,11
Lawson - Hazelbrook - Linden,Chester Hill - Sefton,6
Springwood - Winmalee,Chester Hill - Sefton,11
Cambridge Park,Chester Hill - Sefton,22
Castlereagh - Cranebrook,Chester Hill - Sefton,9
Emu Plains - Leonay,Chester Hill - Sefton,9
Glenmore Park - Regentville,Chester Hill - Sefton,26
Jamisontown - South Penrith,Chester Hill - Sefton,18
Kingswood - Werrington,Chester Hill - Sefton,28
Mulgoa - Luddenham - Orchard Hills,Chester Hill - Sefton,3
Penrith,Chester Hill - Sefton,15
Warragamba - Silverdale,Chester Hill - Sefton,4
Windsor - Bligh Park,Chester Hill - Sefton,4
Yarramundi - Londonderry,Chester Hill - Sefton,3
Erskine Park,Chester Hill - Sefton,6
St Clair,Chester Hill - Sefton,34
St Marys - Colyton,Chester Hill - Sefton,35
Auburn,Chester Hill - Sefton,76
Homebush Bay - Silverwater,Chester Hill - Sefton,22
Lidcombe - Regents Park,Chester Hill - Sefton,118
Carlingford,Chester Hill - Sefton,27
Ermington - Rydalmere,Chester Hill - Sefton,29
Oatlands - Dundas Valley,Chester Hill - Sefton,15
Chester Hill - Sefton,Chester Hill - Sefton,610
Fairfield - East,Chester Hill - Sefton,114
Granville - Clyde,Chester Hill - Sefton,49
Greystanes - Pemulwuy,Chester Hill - Sefton,48
Guildford - South Granville,Chester Hill - Sefton,76
Guildford West - Merrylands West,Chester Hill - Sefton,77
Merrylands - Holroyd,Chester Hill - Sefton,74
Girraween - Westmead,Chester Hill - Sefton,33
North Parramatta,Chester Hill - Sefton,37
North Rocks,Chester Hill - Sefton,22
Northmead,Chester Hill - Sefton,28
Parramatta - Rosehill,Chester Hill - Sefton,47
Toongabbie - Constitution Hill,Chester Hill - Sefton,45
Winston Hills,Chester Hill - Sefton,15
Epping - North Epping,Chester Hill - Sefton,11
Pennant Hills - Cheltenham,Chester Hill - Sefton,12
Eastwood - Denistone,Chester Hill - Sefton,19
Gladesville - Huntleys Point,Chester Hill - Sefton,10
Hunters Hill - Woolwich,Chester Hill - Sefton,8
Macquarie Park - Marsfield,Chester Hill - Sefton,19
North Ryde - East Ryde,Chester Hill - Sefton,6
Ryde - Putney,Chester Hill - Sefton,25
West Ryde - Meadowbank,Chester Hill - Sefton,17
Ashcroft - Busby - Miller,Chester Hill - Sefton,38
Badgerys Creek - Greendale,Chester Hill - Sefton,21
Cobbitty - Leppington,Chester Hill - Sefton,4
Green Valley - Cecil Hills,Chester Hill - Sefton,114
Hoxton Park - Horningsea Park,Chester Hill - Sefton,67
Bonnyrigg Heights - Bonnyrigg,Chester Hill - Sefton,55
Bossley Park - Abbotsbury,Chester Hill - Sefton,53
Cabramatta - Lansvale,Chester Hill - Sefton,97
Cabramatta West - Mount Pritchard,Chester Hill - Sefton,43
Canley Vale - Canley Heights,Chester Hill - Sefton,96
Edensor Park,Chester Hill - Sefton,35
Fairfield,Chester Hill - Sefton,60
Fairfield - West,Chester Hill - Sefton,69
Greenfield Park - Prairiewood,Chester Hill - Sefton,26
Horsley Park - Kemps Creek,Chester Hill - Sefton,3
Smithfield - Wetherill Park,Chester Hill - Sefton,58
St Johns Park - Wakeley,Chester Hill - Sefton,46
Casula,Chester Hill - Sefton,44
Chipping Norton - Moorebank,Chester Hill - Sefton,50
Holsworthy - Wattle Grove,Chester Hill - Sefton,48
Liverpool - Warwick Farm,Chester Hill - Sefton,81
Prestons - Lurnea,Chester Hill - Sefton,90
Caringbah - Lilli Pilli,Chester Hill - Sefton,10
Cronulla - Kurnell - Bundeena,Chester Hill - Sefton,7
Gymea - Grays Point,Chester Hill - Sefton,11
Miranda - Yowie Bay,Chester Hill - Sefton,12
Sylvania - Taren Point,Chester Hill - Sefton,13
Engadine - Loftus,Chester Hill - Sefton,27
Heathcote - Waterfall,Chester Hill - Sefton,3
Illawong - Alfords Point,Chester Hill - Sefton,27
Menai - Lucas Heights - Woronora,Chester Hill - Sefton,33
Oyster Bay - Como - Jannali,Chester Hill - Sefton,15
Sutherland - Kirrawee,Chester Hill - Sefton,26
No Usual Address (NSW),Chester Hill - Sefton,3
Niagara Park - Lisarow,Fairfield - East,3
Gorokan - Kanwal - Charmhaven,Fairfield - East,4
Cessnock,Fairfield - East,3
Albion Park - Macquarie Pass,Fairfield - East,4
Woonona - Bulli - Russell Vale,Fairfield - East,3
Bowral,Fairfield - East,4
Mittagong,Fairfield - East,3
Baulkham Hills (East),Fairfield - East,21
Baulkham Hills (West) - Bella Vista,Fairfield - East,19
Castle Hill,Fairfield - East,23
Cherrybrook,Fairfield - East,13
Glenhaven,Fairfield - East,3
Kellyville,Fairfield - East,26
West Pennant Hills,Fairfield - East,8
Dural - Kenthurst - Wisemans Ferry,Fairfield - East,11
Kurrajong Heights - Ebenezer,Fairfield - East,3
Pitt Town - McGraths Hill,Fairfield - East,3
Rouse Hill - Beaumont Hills,Fairfield - East,4
Blacktown (East) - Kings Park,Fairfield - East,12
Blacktown (North) - Marayong,Fairfield - East,15
Blacktown (South),Fairfield - East,29
Doonside - Woodcroft,Fairfield - East,13
Lalor Park - Kings Langley,Fairfield - East,20
Seven Hills - Toongabbie,Fairfield - East,23
Glenwood,Fairfield - East,10
Parklea - Kellyville Ridge,Fairfield - East,16
Quakers Hill - Acacia Gardens,Fairfield - East,20
Riverstone - Marsden Park,Fairfield - East,9
Bidwill - Hebersham - Emerton,Fairfield - East,17
Glendenning Dean Park,Fairfield - East,9
Hassall Grove - Plumpton,Fairfield - East,19
Lethbridge Park - Tregear,Fairfield - East,9
Mount Druitt - Whalan,Fairfield - East,15
Rooty Hill - Minchinbury,Fairfield - East,20
Mascot - Eastlakes,Fairfield - East,6
Pagewood - Hillsdale - Daceyville,Fairfield - East,3
Marrickville,Fairfield - East,6
Petersham - Stanmore,Fairfield - East,6
Sydenham - Tempe - St Peters,Fairfield - East,3
Erskineville - Alexandria,Fairfield - East,4
Pyrmont - Ultimo,Fairfield - East,5
Redfern - Chippendale,Fairfield - East,7
Surry Hills,Fairfield - East,7
Sydney - Haymarket - The Rocks,Fairfield - East,5
Waterloo - Beaconsfield,Fairfield - East,4
Bondi Beach - North Bondi,Fairfield - East,3
Double Bay - Bellevue Hill,Fairfield - East,7
Rose Bay - Vaucluse - Watsons Bay,Fairfield - East,3
Coogee - Clovelly,Fairfield - East,3
Kensington - Kingsford,Fairfield - East,3
Malabar - La Perouse - Chifley,Fairfield - East,6
Maroubra,Fairfield - East,9
Randwick,Fairfield - East,5
Bankstown,Fairfield - East,42
Bass Hill - Georges Hall,Fairfield - East,64
Condell Park,Fairfield - East,14
Greenacre - Mount Lewis,Fairfield - East,9
Padstow,Fairfield - East,11
Panania - Milperra - Picnic Point,Fairfield - East,37
Revesby,Fairfield - East,16
Yagoona - Birrong,Fairfield - East,27
Belmore - Belfield,Fairfield - East,4
Canterbury (South) - Campsie,Fairfield - East,12
Kingsgrove (North) - Earlwood,Fairfield - East,5
Lakemba - Wiley Park,Fairfield - East,12
Punchbowl,Fairfield - East,22
Roselands,Fairfield - East,13
Hurstville,Fairfield - East,6
Mortdale - Penshurst,Fairfield - East,13
Narwee - Beverly Hills,Fairfield - East,3
Oatley - Hurstville Grove,Fairfield - East,9
Peakhurst - Lugarno,Fairfield - East,3
Riverwood,Fairfield - East,8
South Hurstville - Blakehurst,Fairfield - East,6
Arncliffe - Bardwell Valley,Fairfield - East,8
Bexley,Fairfield - East,10
Kingsgrove (South) - Bardwell Park,Fairfield - East,4
Kogarah,Fairfield - East,3
Kogarah Bay - Carlton - Allawah,Fairfield - East,3
Monterey - Brighton-le-Sands - Kyeemagh,Fairfield - East,3
Rockdale - Banksia,Fairfield - East,7
Sans Souci - Ramsgate,Fairfield - East,8
Concord - Mortlake - Cabarita,Fairfield - East,8
Concord West - North Strathfield,Fairfield - East,8
Drummoyne - Rodd Point,Fairfield - East,4
Five Dock - Abbotsford,Fairfield - East,17
Balmain,Fairfield - East,4
Leichhardt - Annandale,Fairfield - East,12
Lilyfield - Rozelle,Fairfield - East,4
Ashfield,Fairfield - East,10
Burwood - Croydon,Fairfield - East,9
Canterbury (North) - Ashbury,Fairfield - East,3
Croydon Park - Enfield,Fairfield - East,13
Dulwich Hill - Lewisham,Fairfield - East,4
Haberfield - Summer Hill,Fairfield - East,7
Homebush,Fairfield - East,3
Strathfield,Fairfield - East,13
Chatswood (East) - Artarmon,Fairfield - East,6
Chatswood (West) - Lane Cove North,Fairfield - East,3
St Leonards - Naremburn,Fairfield - East,3
Willoughby - Castle Cove - Northbridge,Fairfield - East,6
Asquith - Mount Colah,Fairfield - East,7
Hornsby - Waitara,Fairfield - East,8
Normanhurst - Thornleigh - Westleigh,Fairfield - East,4
Lindfield - Roseville,Fairfield - East,3
St Ives,Fairfield - East,3
Wahroonga - Warrawee,Fairfield - East,3
Cremorne - Cammeray,Fairfield - East,3
Mosman,Fairfield - East,3
Neutral Bay - Kirribilli,Fairfield - East,3
Balgowlah - Clontarf - Seaforth,Fairfield - East,3
Manly - Fairlight,Fairfield - East,3
Bayview - Elanora Heights,Fairfield - East,3
Warriewood - Mona Vale,Fairfield - East,3
Dee Why - North Curl Curl,Fairfield - East,3
Forestville - Killarney Heights,Fairfield - East,3
Manly Vale - Allambie Heights,Fairfield - East,7
Narrabeen - Collaroy,Fairfield - East,4
Camden - Ellis Lane,Fairfield - East,12
Elderslie - Harrington Park,Fairfield - East,19
Mount Annan - Currans Hill,Fairfield - East,37
Bradbury - Wedderburn,Fairfield - East,21
Campbelltown - Woodbine,Fairfield - East,10
Claymore - Eagle Vale - Raby,Fairfield - East,27
Ingleburn - Denham Court,Fairfield - East,27
Leumeah - Minto Heights,Fairfield - East,24
Macquarie Fields - Glenfield,Fairfield - East,28
Minto - St Andrews,Fairfield - East,37
Rosemeadow - Glen Alpine,Fairfield - East,27
Douglas Park - Appin,Fairfield - East,4
Picton - Tahmoor - Buxton,Fairfield - East,8
The Oaks - Oakdale,Fairfield - East,7
Blaxland - Warrimoo - Lapstone,Fairfield - East,16
Katoomba - Leura,Fairfield - East,4
Lawson - Hazelbrook - Linden,Fairfield - East,6
Springwood - Winmalee,Fairfield - East,13
Cambridge Park,Fairfield - East,21
Castlereagh - Cranebrook,Fairfield - East,12
Emu Plains - Leonay,Fairfield - East,10
Glenmore Park - Regentville,Fairfield - East,24
Jamisontown - South Penrith,Fairfield - East,16
Kingswood - Werrington,Fairfield - East,18
Mulgoa - Luddenham - Orchard Hills,Fairfield - East,8
Penrith,Fairfield - East,10
Warragamba - Silverdale,Fairfield - East,12
Richmond - Clarendon,Fairfield - East,3
Windsor - Bligh Park,Fairfield - East,9
Yarramundi - Londonderry,Fairfield - East,3
Erskine Park,Fairfield - East,15
St Clair,Fairfield - East,26
St Marys - Colyton,Fairfield - East,31
Auburn,Fairfield - East,43
Homebush Bay - Silverwater,Fairfield - East,16
Lidcombe - Regents Park,Fairfield - East,43
Carlingford,Fairfield - East,8
Ermington - Rydalmere,Fairfield - East,17
Oatlands - Dundas Valley,Fairfield - East,22
Chester Hill - Sefton,Fairfield - East,70
Fairfield - East,Fairfield - East,365
Granville - Clyde,Fairfield - East,39
Greystanes - Pemulwuy,Fairfield - East,47
Guildford - South Granville,Fairfield - East,61
Guildford West - Merrylands West,Fairfield - East,92
Merrylands - Holroyd,Fairfield - East,81
Girraween - Westmead,Fairfield - East,45
North Parramatta,Fairfield - East,28
North Rocks,Fairfield - East,10
Northmead,Fairfield - East,21
Parramatta - Rosehill,Fairfield - East,41
Toongabbie - Constitution Hill,Fairfield - East,36
Winston Hills,Fairfield - East,10
Epping - North Epping,Fairfield - East,10
Pennant Hills - Cheltenham,Fairfield - East,6
Eastwood - Denistone,Fairfield - East,8
Gladesville - Huntleys Point,Fairfield - East,6
Hunters Hill - Woolwich,Fairfield - East,3
Macquarie Park - Marsfield,Fairfield - East,3
North Ryde - East Ryde,Fairfield - East,6
Ryde - Putney,Fairfield - East,10
West Ryde - Meadowbank,Fairfield - East,8
Ashcroft - Busby - Miller,Fairfield - East,40
Badgerys Creek - Greendale,Fairfield - East,15
Cobbitty - Leppington,Fairfield - East,4
Green Valley - Cecil Hills,Fairfield - East,100
Hoxton Park - Horningsea Park,Fairfield - East,48
Bonnyrigg Heights - Bonnyrigg,Fairfield - East,62
Bossley Park - Abbotsbury,Fairfield - East,79
Cabramatta - Lansvale,Fairfield - East,113
Cabramatta West - Mount Pritchard,Fairfield - East,40
Canley Vale - Canley Heights,Fairfield - East,93
Edensor Park,Fairfield - East,41
Fairfield,Fairfield - East,90
Fairfield - West,Fairfield - East,89
Greenfield Park - Prairiewood,Fairfield - East,28
Horsley Park - Kemps Creek,Fairfield - East,8
Smithfield - Wetherill Park,Fairfield - East,83
St Johns Park - Wakeley,Fairfield - East,61
Casula,Fairfield - East,20
Chipping Norton - Moorebank,Fairfield - East,51
Holsworthy - Wattle Grove,Fairfield - East,32
Liverpool - Warwick Farm,Fairfield - East,61
Prestons - Lurnea,Fairfield - East,66
Caringbah - Lilli Pilli,Fairfield - East,6
Cronulla - Kurnell - Bundeena,Fairfield - East,10
Gymea - Grays Point,Fairfield - East,7
Miranda - Yowie Bay,Fairfield - East,5
Sylvania - Taren Point,Fairfield - East,3
Engadine - Loftus,Fairfield - East,7
Heathcote - Waterfall,Fairfield - East,3
Illawong - Alfords Point,Fairfield - East,5
Menai - Lucas Heights - Woronora,Fairfield - East,27
Oyster Bay - Como - Jannali,Fairfield - East,10
Sutherland - Kirrawee,Fairfield - East,7
No Usual Address (NSW),Fairfield - East,3
Box Head - MacMasters Beach,Granville - Clyde,5
Calga - Kulnura,Granville - Clyde,3
Gosford - Springfield,Granville - Clyde,3
Kariong,Granville - Clyde,3
Narara,Granville - Clyde,3
Niagara Park - Lisarow,Granville - Clyde,5
Terrigal - North Avoca,Granville - Clyde,5
Umina - Booker Bay - Patonga,Granville - Clyde,4
Wyoming,Granville - Clyde,8
Bateau Bay - Killarney Vale,Granville - Clyde,3
Budgewoi - Buff Point - Halekulani,Granville - Clyde,5
Chittaway Bay - Tumbi Umbi,Granville - Clyde,3
Gorokan - Kanwal - Charmhaven,Granville - Clyde,3
The Entrance,Granville - Clyde,3
Warnervale - Wadalba,Granville - Clyde,4
Wyong,Granville - Clyde,4
Balgownie - Fairy Meadow,Granville - Clyde,3
Helensburgh,Granville - Clyde,4
Thirroul - Austinmer - Coalcliff,Granville - Clyde,8
Wollongong,Granville - Clyde,3
Redhead,Granville - Clyde,3
Bonnells Bay - Silverwater,Granville - Clyde,3
Hill Top - Colo Vale,Granville - Clyde,3
Mittagong,Granville - Clyde,3
Southern Highlands,Granville - Clyde,3
Baulkham Hills (East),Granville - Clyde,59
Baulkham Hills (West) - Bella Vista,Granville - Clyde,56
Castle Hill,Granville - Clyde,40
Cherrybrook,Granville - Clyde,40
Glenhaven,Granville - Clyde,11
Kellyville,Granville - Clyde,58
West Pennant Hills,Granville - Clyde,15
Dural - Kenthurst - Wisemans Ferry,Granville - Clyde,20
Kurrajong Heights - Ebenezer,Granville - Clyde,23
Pitt Town - McGraths Hill,Granville - Clyde,5
Rouse Hill - Beaumont Hills,Granville - Clyde,38
Blacktown (East) - Kings Park,Granville - Clyde,38
Blacktown (North) - Marayong,Granville - Clyde,35
Blacktown (South),Granville - Clyde,80
Doonside - Woodcroft,Granville - Clyde,36
Lalor Park - Kings Langley,Granville - Clyde,70
Seven Hills - Toongabbie,Granville - Clyde,62
Glenwood,Granville - Clyde,35
Parklea - Kellyville Ridge,Granville - Clyde,60
Quakers Hill - Acacia Gardens,Granville - Clyde,74
Riverstone - Marsden Park,Granville - Clyde,18
Bidwill - Hebersham - Emerton,Granville - Clyde,35
Glendenning Dean Park,Granville - Clyde,20
Hassall Grove - Plumpton,Granville - Clyde,37
Lethbridge Park - Tregear,Granville - Clyde,20
Mount Druitt - Whalan,Granville - Clyde,29
Rooty Hill - Minchinbury,Granville - Clyde,64
Botany,Granville - Clyde,3
Mascot - Eastlakes,Granville - Clyde,9
Marrickville,Granville - Clyde,15
Petersham - Stanmore,Granville - Clyde,12
Sydenham - Tempe - St Peters,Granville - Clyde,3
Darlinghurst,Granville - Clyde,4
Erskineville - Alexandria,Granville - Clyde,7
Glebe - Forest Lodge,Granville - Clyde,3
Newtown - Camperdown - Darlington,Granville - Clyde,16
Potts Point - Woolloomooloo,Granville - Clyde,4
Pyrmont - Ultimo,Granville - Clyde,3
Redfern - Chippendale,Granville - Clyde,4
Surry Hills,Granville - Clyde,5
Sydney - Haymarket - The Rocks,Granville - Clyde,4
Waterloo - Beaconsfield,Granville - Clyde,14
Bondi - Tamarama - Bronte,Granville - Clyde,4
Bondi Beach - North Bondi,Granville - Clyde,6
Bondi Junction - Waverly,Granville - Clyde,3
Dover Heights,Granville - Clyde,4
Paddington - Moore Park,Granville - Clyde,5
Rose Bay - Vaucluse - Watsons Bay,Granville - Clyde,5
Kensington - Kingsford,Granville - Clyde,10
Malabar - La Perouse - Chifley,Granville - Clyde,4
Maroubra,Granville - Clyde,3
Randwick,Granville - Clyde,16
Bankstown,Granville - Clyde,34
Bass Hill - Georges Hall,Granville - Clyde,40
Condell Park,Granville - Clyde,7
Greenacre - Mount Lewis,Granville - Clyde,25
Padstow,Granville - Clyde,19
Panania - Milperra - Picnic Point,Granville - Clyde,44
Revesby,Granville - Clyde,10
Yagoona - Birrong,Granville - Clyde,36
Belmore - Belfield,Granville - Clyde,15
Canterbury (South) - Campsie,Granville - Clyde,24
Kingsgrove (North) - Earlwood,Granville - Clyde,20
Lakemba - Wiley Park,Granville - Clyde,21
Punchbowl,Granville - Clyde,12
Roselands,Granville - Clyde,14
Hurstville,Granville - Clyde,8
Mortdale - Penshurst,Granville - Clyde,18
Narwee - Beverly Hills,Granville - Clyde,9
Oatley - Hurstville Grove,Granville - Clyde,9
Peakhurst - Lugarno,Granville - Clyde,25
Riverwood,Granville - Clyde,8
South Hurstville - Blakehurst,Granville - Clyde,13
Arncliffe - Bardwell Valley,Granville - Clyde,7
Bexley,Granville - Clyde,16
Kingsgrove (South) - Bardwell Park,Granville - Clyde,9
Kogarah,Granville - Clyde,8
Kogarah Bay - Carlton - Allawah,Granville - Clyde,3
Monterey - Brighton-le-Sands - Kyeemagh,Granville - Clyde,5
Rockdale - Banksia,Granville - Clyde,6
Sans Souci - Ramsgate,Granville - Clyde,5
Concord - Mortlake - Cabarita,Granville - Clyde,40
Concord West - North Strathfield,Granville - Clyde,28
Drummoyne - Rodd Point,Granville - Clyde,9
Five Dock - Abbotsford,Granville - Clyde,12
Balmain,Granville - Clyde,6
Leichhardt - Annandale,Granville - Clyde,12
Lilyfield - Rozelle,Granville - Clyde,9
Ashfield,Granville - Clyde,18
Burwood - Croydon,Granville - Clyde,24
Canterbury (North) - Ashbury,Granville - Clyde,5
Croydon Park - Enfield,Granville - Clyde,25
Dulwich Hill - Lewisham,Granville - Clyde,17
Haberfield - Summer Hill,Granville - Clyde,17
Homebush,Granville - Clyde,25
Strathfield,Granville - Clyde,43
Chatswood (East) - Artarmon,Granville - Clyde,8
Chatswood (West) - Lane Cove North,Granville - Clyde,8
Lane Cove - Greenwich,Granville - Clyde,7
St Leonards - Naremburn,Granville - Clyde,4
Willoughby - Castle Cove - Northbridge,Granville - Clyde,4
Asquith - Mount Colah,Granville - Clyde,7
Berowra - Brooklyn - Cowan,Granville - Clyde,4
Hornsby - Waitara,Granville - Clyde,19
Normanhurst - Thornleigh - Westleigh,Granville - Clyde,12
Gordon - Killara,Granville - Clyde,3
Lindfield - Roseville,Granville - Clyde,3
Pymble,Granville - Clyde,6
St Ives,Granville - Clyde,4
Turramurra,Granville - Clyde,4
Wahroonga - Warrawee,Granville - Clyde,8
Cremorne - Cammeray,Granville - Clyde,3
Crows Nest - Waverton,Granville - Clyde,4
Mosman,Granville - Clyde,4
Neutral Bay - Kirribilli,Granville - Clyde,3
North Sydney - Lavender Bay,Granville - Clyde,5
Balgowlah - Clontarf - Seaforth,Granville - Clyde,3
Manly - Fairlight,Granville - Clyde,5
Bayview - Elanora Heights,Granville - Clyde,3
Newport - Bilgola,Granville - Clyde,3
Cromer,Granville - Clyde,3
Dee Why - North Curl Curl,Granville - Clyde,7
Forestville - Killarney Heights,Granville - Clyde,4
Frenchs Forest - Belrose,Granville - Clyde,3
Freshwater - Brookvale,Granville - Clyde,5
Manly Vale - Allambie Heights,Granville - Clyde,3
Camden - Ellis Lane,Granville - Clyde,6
Elderslie - Harrington Park,Granville - Clyde,13
Mount Annan - Currans Hill,Granville - Clyde,36
Bradbury - Wedderburn,Granville - Clyde,14
Campbelltown - Woodbine,Granville - Clyde,23
Claymore - Eagle Vale - Raby,Granville - Clyde,19
Ingleburn - Denham Court,Granville - Clyde,28
Leumeah - Minto Heights,Granville - Clyde,27
Macquarie Fields - Glenfield,Granville - Clyde,32
Minto - St Andrews,Granville - Clyde,25
Rosemeadow - Glen Alpine,Granville - Clyde,26
Bargo,Granville - Clyde,4
Douglas Park - Appin,Granville - Clyde,4
Picton - Tahmoor - Buxton,Granville - Clyde,11
The Oaks - Oakdale,Granville - Clyde,3
Blaxland - Warrimoo - Lapstone,Granville - Clyde,37
Katoomba - Leura,Granville - Clyde,4
Lawson - Hazelbrook - Linden,Granville - Clyde,10
Springwood - Winmalee,Granville - Clyde,34
Wentworth Falls,Granville - Clyde,4
Cambridge Park,Granville - Clyde,40
Castlereagh - Cranebrook,Granville - Clyde,28
Emu Plains - Leonay,Granville - Clyde,25
Glenmore Park - Regentville,Granville - Clyde,38
Jamisontown - South Penrith,Granville - Clyde,41
Kingswood - Werrington,Granville - Clyde,32
Mulgoa - Luddenham - Orchard Hills,Granville - Clyde,9
Penrith,Granville - Clyde,20
Warragamba - Silverdale,Granville - Clyde,3
Richmond - Clarendon,Granville - Clyde,5
Windsor - Bligh Park,Granville - Clyde,13
Yarramundi - Londonderry,Granville - Clyde,7
Erskine Park,Granville - Clyde,20
St Clair,Granville - Clyde,56
St Marys - Colyton,Granville - Clyde,55
Auburn,Granville - Clyde,127
Homebush Bay - Silverwater,Granville - Clyde,24
Lidcombe - Regents Park,Granville - Clyde,101
Carlingford,Granville - Clyde,53
Ermington - Rydalmere,Granville - Clyde,54
Oatlands - Dundas Valley,Granville - Clyde,52
Chester Hill - Sefton,Granville - Clyde,65
Fairfield - East,Granville - Clyde,49
Granville - Clyde,Granville - Clyde,587
Greystanes - Pemulwuy,Granville - Clyde,141
Guildford - South Granville,Granville - Clyde,168
Guildford West - Merrylands West,Granville - Clyde,151
Merrylands - Holroyd,Granville - Clyde,185
Girraween - Westmead,Granville - Clyde,87
North Parramatta,Granville - Clyde,94
North Rocks,Granville - Clyde,25
Northmead,Granville - Clyde,65
Parramatta - Rosehill,Granville - Clyde,123
Toongabbie - Constitution Hill,Granville - Clyde,79
Winston Hills,Granville - Clyde,29
Epping - North Epping,Granville - Clyde,45
Pennant Hills - Cheltenham,Granville - Clyde,16
Eastwood - Denistone,Granville - Clyde,29
Gladesville - Huntleys Point,Granville - Clyde,18
Hunters Hill - Woolwich,Granville - Clyde,7
Macquarie Park - Marsfield,Granville - Clyde,8
North Ryde - East Ryde,Granville - Clyde,6
Ryde - Putney,Granville - Clyde,37
West Ryde - Meadowbank,Granville - Clyde,26
Ashcroft - Busby - Miller,Granville - Clyde,23
Badgerys Creek - Greendale,Granville - Clyde,3
Cobbitty - Leppington,Granville - Clyde,4
Green Valley - Cecil Hills,Granville - Clyde,55
Hoxton Park - Horningsea Park,Granville - Clyde,51
Bonnyrigg Heights - Bonnyrigg,Granville - Clyde,30
Bossley Park - Abbotsbury,Granville - Clyde,34
Cabramatta - Lansvale,Granville - Clyde,29
Cabramatta West - Mount Pritchard,Granville - Clyde,23
Canley Vale - Canley Heights,Granville - Clyde,35
Edensor Park,Granville - Clyde,17
Fairfield,Granville - Clyde,32
Fairfield - West,Granville - Clyde,45
Greenfield Park - Prairiewood,Granville - Clyde,13
Horsley Park - Kemps Creek,Granville - Clyde,7
Smithfield - Wetherill Park,Granville - Clyde,37
St Johns Park - Wakeley,Granville - Clyde,14
Casula,Granville - Clyde,20
Chipping Norton - Moorebank,Granville - Clyde,25
Holsworthy - Wattle Grove,Granville - Clyde,37
Liverpool - Warwick Farm,Granville - Clyde,24
Prestons - Lurnea,Granville - Clyde,45
Caringbah - Lilli Pilli,Granville - Clyde,15
Cronulla - Kurnell - Bundeena,Granville - Clyde,10
Gymea - Grays Point,Granville - Clyde,9
Miranda - Yowie Bay,Granville - Clyde,5
Sylvania - Taren Point,Granville - Clyde,17
Engadine - Loftus,Granville - Clyde,16
Heathcote - Waterfall,Granville - Clyde,4
Illawong - Alfords Point,Granville - Clyde,18
Menai - Lucas Heights - Woronora,Granville - Clyde,16
Oyster Bay - Como - Jannali,Granville - Clyde,10
